user_id, business_id, stars
vxR_YV0atFxIxfOnF9uHjQ,gTw6PENNGl68ZPUpYWP50A,5
o0p-iTC5yTBV5Yab_7es4g,iAuOpYDfOTuzQ6OPpEiGwA,4
#NAME?,5j7BnXXvlS69uLVHrY9Upw,2
E43QxgV87Ij6KxMCHcijKw,jUYp798M93Mpcjys_TTgsQ,5
T13IBpJITI32a1k41rc-tg,3MntE_HWbNNoyiLGxywjYA,5
Q1IENmNc6bdDruACmhy4mg,sPd3E7lFzd_yooiq-ekxtQ,4
4bQqil4770ey8GfhBgEGuw,YXohNvMTCmGhFMSQsDZq1g,5
0BBUmH7Krcax1RZgbH4fSA,XO2hZb0xC8jTexSHG4SxFg,4
QZ_Arlwoj0ghfBvg69rjOw,SUktrYdNQD8k2vvkM4OpfA,5
lEw2VL9JCDFk3R5NzahqnA,xVEtGucSRLk5pxxN0t4i6g,4
zsZBYWYEmLLs81_f-HHM8w,ZBfp0AT1NOE0ULg3EIYTSA,4
uNxXIIFzjHm5r62UTyVjrQ,Zvnm7o2eMaYAEHS8YRn_EQ,5
TGrZk61ja7X1ijAGW5lNmg,jCiovc2qHJ5L-_1gigLueQ,2
Fv0e9RIV9jw5TX3ctA1WbA,roA-hNugvAwiyVirIFH8Aw,1
z4RytucxI_XfcMFaEI2DRg,HPLB1Tr8ZB5UkD-2umKPdA,4
vxR_YV0atFxIxfOnF9uHjQ,82YGtjc5KKikNiqBZ33qzw,5
y0ZU1w6YY4W-KtMeRXSYLg,UpEVdq_euH-5mqCIgUAd2Q,4
BeoFmNoFuz-h8uso-J2_lg,lQpxpk_ZFJ_ZtYNYhJQv8Q,4
pMefTWo6gMdx8WhYSA2u3w,34OwRFftkT7t3iBquazJcg,3
tYk7mMGGFl3gLfmhST5L-A,cgoHLKJLsAK1ww0_ezNFnw,4
Ez8ifxrtOUT5TM4817scOQ,glTBzDHv9wNhEsZa4bQrOA,2
KhpA23RweKsO9TDaGpE2xg,B01pO_pI_8AOfEsukGNg-Q,5
Bj_MarPEKBe2xN12YimekQ,UPIYuRaZvknINOd1w8kqRQ,5
mrru6hbeQLvagU4vkfuqmw,dy0O7DaSUd49NZWSEtvz_g,5
UYcmGbelzRa0Q6JqzLoguw,ciDXNLbcwI7qt5guNKZPIw,5
0KeT9NKimYkHN0wlrij-dg,A9qmduhmrTZxSg7uTOnzYg,4
0nqshyLgABOSyTfJUTthjQ,VyjyHoBg3KC5BSFRlD0ZPQ,4
3CMiTAhq_o_GP1tLs-ihbg,MwCai0x6GILtK4KkwufZig,4
vSzquh2Ym99tpksfpWH2kg,cJq087T4mHnADzspL3MclQ,5
PKEzKWv_FktMm2mGPjwd0Q,0YG_kM5caZhtwd6nbnei6A,3
sMm9HOXmBgsBmCKnOmLwyA,dWFUKB_HPBIE87AFBHEb_w,1
E0v3KkPKsizW_RW3CKQj-A,as_fyujgsdwtV56n31z-Sw,5
en3OMUKWjeON-1-6wo8VrQ,1BrIPwRhJHOp6yBwjoRtgg,5
8AwcaBJjiMpQ__FPxktwwQ,BHWIl_wI7P58JrODocBjkg,5
ehAvwDt4Fpsz9KPordu5lA,GPX3TnZ0-4pAxKPJUESbeA,3
O5VAQ-dbR2Bk0OZLL1L0Ig,SOA7a5EC6cz2shD8CgB_7w,4
HVJgTH5qu0goywOHNpOjPA,M8a5DRdXl8KMu4bMFLPgQg,5
WJhQpdUHoFCtpU6gHFjVlQ,r4KXghbUeo7mugAzinG9bA,4
Ozmf732ox-TNhfKrjWBXpg,Z1yvzAbs4fGC28s7WtUonA,3
_VMGbmIeK71rQGwOBWt_Kg,LJQCv30PCIpC3FnvHF5mXQ,4
ot0yVHpNJNXNTJvSCD1_nw,MtvN8vMiKcLkkz_tCvBx3g,5
h1Vsz24g7TLA9ZfIDiFjbw,s-S2xzhmyWw7TUDet7WBnQ,4
bxRQIGQNkvxrmZ1i_cAnKQ,XBEx2FI2GKmsjs7eWNr7Lw,5
erQM1caBnCLFzT8v_2uEjA,Lzv68iVkRHstVvW3aXNWkA,1
uvRVutQ_Gu-OivL6ox0ouQ,3-HFGxmbzSax-NySJ_LzDg,4
sKIsEeWK1kigG9HNfkPfmg,fPISsMIXOYZP1uins2Bwyw,4
RylA6VZUTRuMGBu4nHKbCw,qwR_Oy11Nx7l8zoC7Vj3Rg,4
vIo7oGd2IMEMMfVMbgDUyg,FedVIzzA592Tchv3XnS18g,5
11k3A-_Ifz_86LHvkGRgoQ,VsewHMsfj1Mgsl2i_hio7w,5
7hnwrH20r6IiJOAlNOPgcw,w-As0KSwy8pqMClOea-NLQ,5
fjFYpwpvlIlqoiNa3myDEA,NJOtdjuLfRfg-Ddi7Au7Vw,3
94FDFrBJzciS-pP6MV8bRg,QTVvuhrbBDJfqaTyFOUMkw,2
BeeOV-pyDvxP7c6ZwH7bKg,DB9BRdu7is0AK1DvcuKlcw,5
CK-W4WhlmLKOZF-50WmmpQ,DxgSVufr_6y_Rc63CC17Zg,3
xWk0I0S9KWMB06wKUEDYxg,WDYE-OCXNgKyXGNuBjMgEw,5
UtkjXTiMfGRz4R1zDF3Kxg,Zja7ykq3icDzkN20XX6j1w,4
hTZb1INhnCG8URaFywVoYQ,SMPbvZLSMMb7KU76YNYMGg,4
N3oNEwh0qgPqPP3Em6wJXw,gTw6PENNGl68ZPUpYWP50A,5
eigZw_Tn4TWJPSZ9UO9Auw,AV6weBrZFFBfRGCbcRGO4g,2
CkqT3yGUeM_9vSbFES_O5w,YXohNvMTCmGhFMSQsDZq1g,5
0qIelmM4NjI5Y5b_VQI-Qg,ENzLJkb8eXP8fGBzG5aGXg,5
c3DfRslN9pM-34shCBYpzA,rFb9J1njudA6j7zym5hL1Q,4
p9TNT6pNKRuvBSzNf27JkQ,Lc31HveLiuaxVEt0cvZO7Q,4
PF07QY_dBTNGavc8CYBv5w,ii_zDR8crbQVJehMMWoCkQ,3
HRNysSGlkeq-Fjud0k0Y4Q,k9RUMKASTB6QZ-NkfnN8Fg,3
omYjiX9WyiBhyjX-0EEKUQ,0InA3Ffj8MxyQV9hgsyYcQ,4
tbEeWhU5HG3ujzKWZBNzQg,sNVGdeOPeitJ3OWUQBINzQ,3
IduEiOzDSIMlAGnOMPfSvw,OktwRjOI1nCaq5_AJMWWDQ,5
#NAME?,mPeD3z6k0JLNZIM9ow9hrg,5
mYcRL0cJtHeXRBup5wwppQ,Gdv3qhsDeQzZ2Ag-Tzq6vA,4
m-BZLIIh5PCAKnzH0qj_0Q,#NAME?,5
FSyrMp4pGdBd456MkCO8WQ,RGq0qjn2ifmnRWTJ8bfOPw,4
wXZS42D0L8hoCiSh2Krc_A,cYwJA2A6I12KNkm2rtXd5g,5
CrEBVkzIQs7tS-wWfaCjNQ,7pkiQvVfcsa-wtBEeNHHUg,5
EjivzO1K8IJP8qCkX9U3qA,0LU8TLoYmMf6_ujYMPFGJg,3
wwPSdOrW0jVNgzr8whD0Jw,_K63HbZBVQSBCvQicQdl-A,5
d5WLqmTMvmL7-RmUDVKqqQ,xkdgCrkgfbI80Htst6-Lbw,3
JnPIjvC0cmooNDfsa9BmXg,_eJ2ETotJBzZBQS15fD-8A,1
5YXcnjNQ1PsJK0GznDBH9Q,W3K_5U2KEw0gxK7cvuB2mw,5
NZPoW7bv_62nAJ-yXpVl1g,L3R7y3_tUKQlM9kor4-Ccw,2
VSRtEK_c84oJygZ0OX0Oqg,f9sU31meK0bqAD7922sCog,5
RD-f1At-TwojTfXFuyN5ag,flCF_Vp9NOpTVeGv673nSg,2
b7rchNJEp6Gaw0bHR-4s4g,8eSmXnZG0N1GRsqiFeU9uA,4
11gxVnIOvxL5PI4Ur9qa2g,UMqfeCItzQ2glr4d9apGlA,2
wbvjiDpw0FoZDeqbzAIcDQ,qWSwDbtJRBvKTiMpH3rNLQ,4
XE36pmSiByd4YtSiPkn9_A,ER0rUoLqAJQ2Mlv2_GnwyQ,4
#NAME?,ii8sAGBexBOJoYRFafF9XQ,4
E5Fbnoe5f5a74A5auXjiBg,f9sU31meK0bqAD7922sCog,4
8Sx-NgLzyCBBWT-IKBt9Fw,kRhjWeAPs-U5RmakIKz0Pg,3
atXRV9crRDO2VzP6XOquJg,OK_djnmJWmK4G3NMAjGGjg,3
fLnkI1uHtXEsjtF6KoBHbQ,xoGPeHR2RPnJW470-aYBUQ,4
1dwa6Wkp0chKBcrRuO05lA,ByFMv3p5X1aNeZhU61rDcA,4
bCLqNCdhUdsmTj9Braespg,ttuEwktrkmh3TUlSFPZqAA,4
2pVj1Hid6_Iq3Th9xI0aOQ,wT1mRdUeZRNgMB81s3dJDw,4
DIdq2t1_ra6g5JcexYHuOQ,YavRvjbLsvh4DYDJPAfJIA,1
XdLQep9R3V7EHwW2fjgK-g,CZhc8YXdFLhAI4ViC2ERTg,4
aUlnMALjy4sXJP1KxjuX1g,4XH5nRjUVKyRNituBAwW6A,3
4V6vZgVCfEfYwXFK3tnTQQ,RrCgc8eAKbHu-2IpQXg6Rw,5
CwzhFRwIkYFGkaggG0sTlA,xaJS4YP0lISl2V5z2qA3GQ,4
